symbol,ts,open,high,low,close,volume,interval
AMZN,2026-03-03T17:05:00.000Z,206.22,206.53,205.88,205.95,204253,5min
AMZN,2026-03-03T17:10:00.000Z,205.99,206.21,205.88,206.18,160648,5min
AMZN,2026-03-03T17:15:00.000Z,206.16,206.32,205.95,206.25,185910,5min
AMZN,2026-03-03T17:20:00.000Z,206.24,206.59,205.93,206.57,190060,5min
AMZN,2026-03-03T17:25:00.000Z,206.57,206.71,206.32,206.61,192098,5min
AMZN,2026-03-03T17:30:00.000Z,206.6,206.61,205.94,206,207034,5min
AMZN,2026-03-03T17:35:00.000Z,206.01,206.37,205.8,206.26,275653,5min
AMZN,2026-03-03T17:40:00.000Z,206.26,207.11,206.23,207.03,267418,5min
AMZN,2026-03-03T17:45:00.000Z,207.03,207.12,206.64,206.78,188986,5min
AMZN,2026-03-03T17:50:00.000Z,206.78,206.82,206.25,206.31,150853,5min
AMZN,2026-03-03T17:55:00.000Z,206.32,206.37,206.16,206.23,116026,5min
AMZN,2026-03-03T18:00:00.000Z,206.24,206.93,206.22,206.8,177109,5min
AMZN,2026-03-03T18:05:00.000Z,206.81,207.09,206.68,207.01,148853,5min
AMZN,2026-03-03T18:10:00.000Z,207.02,207.03,206.7,206.99,145491,5min
AMZN,2026-03-03T18:15:00.000Z,206.96,207.25,206.93,207.18,152722,5min
AMZN,2026-03-03T18:20:00.000Z,207.18,207.67,207.15,207.57,243408,5min
AMZN,2026-03-03T18:25:00.000Z,207.56,207.81,207.4,207.59,176059,5min
AMZN,2026-03-03T18:30:00.000Z,207.61,208.13,207.57,208.07,214140,5min
AMZN,2026-03-03T18:35:00.000Z,208.06,208.44,207.92,208.41,218091,5min
AMZN,2026-03-03T18:40:00.000Z,208.41,208.61,208.3,208.5,241387,5min
AMZN,2026-03-03T18:45:00.000Z,208.49,208.52,208.09,208.45,189666,5min
AMZN,2026-03-03T18:50:00.000Z,208.46,208.49,208.01,208.11,194265,5min
AMZN,2026-03-03T18:55:00.000Z,208.1,208.45,207.97,208.26,181342,5min
AMZN,2026-03-03T19:00:00.000Z,208.28,208.45,208.14,208.29,173586,5min
AMZN,2026-03-03T19:05:00.000Z,208.31,208.4,207.73,207.75,183256,5min
AMZN,2026-03-03T19:10:00.000Z,207.75,207.95,207.62,207.87,152807,5min
AMZN,2026-03-03T19:15:00.000Z,207.87,208.25,207.85,208.01,153643,5min
AMZN,2026-03-03T19:20:00.000Z,208.02,208.25,207.95,207.96,185816,5min
AMZN,2026-03-03T19:25:00.000Z,207.97,208.04,207.83,207.88,134466,5min
AMZN,2026-03-03T19:30:00.000Z,207.89,208.07,207.41,207.5,179639,5min
AMZN,2026-03-03T19:35:00.000Z,207.51,208.33,207,207.86,337044,5min
AMZN,2026-03-03T19:40:00.000Z,207.92,208.64,207.85,208.63,271425,5min
AMZN,2026-03-03T19:45:00.000Z,208.64,208.88,208.5,208.59,222062,5min
AMZN,2026-03-03T19:50:00.000Z,208.6,208.91,208.22,208.39,227682,5min
AMZN,2026-03-03T19:55:00.000Z,208.38,208.6,208.16,208.59,128800,5min
AMZN,2026-03-03T20:00:00.000Z,208.59,208.88,208.39,208.72,247299,5min
AMZN,2026-03-03T20:05:00.000Z,208.73,209.09,208.57,209,283960,5min
AMZN,2026-03-03T20:10:00.000Z,209,209.09,208.59,208.63,260670,5min
AMZN,2026-03-03T20:15:00.000Z,208.6,208.84,208.39,208.45,278913,5min
AMZN,2026-03-03T20:20:00.000Z,208.47,208.68,208.39,208.64,202728,5min
AMZN,2026-03-03T20:25:00.000Z,208.63,208.77,208.2,208.69,267973,5min
AMZN,2026-03-03T20:30:00.000Z,208.69,208.88,208.59,208.77,315856,5min
AMZN,2026-03-03T20:35:00.000Z,208.79,209.18,208.48,208.57,290031,5min
AMZN,2026-03-03T20:40:00.000Z,208.59,208.72,208.42,208.69,192848,5min
AMZN,2026-03-03T20:45:00.000Z,208.69,208.83,208.4,208.62,306922,5min
AMZN,2026-03-03T20:50:00.000Z,208.61,208.89,208.29,208.49,446158,5min
AMZN,2026-03-03T20:55:00.000Z,208.48,208.83,208,208.76,1477452,5min
AMZN,2026-03-04T14:30:00.000Z,210.47,212.32,210.15,211.84,1989212,5min
AMZN,2026-03-04T14:35:00.000Z,211.83,211.93,210.81,211.1,493860,5min
AMZN,2026-03-04T14:40:00.000Z,211.09,211.74,210.59,211.1,557915,5min
AMZN,2026-03-04T14:45:00.000Z,211.05,213.2,210.86,212.66,1219182,5min
AMZN,2026-03-04T14:50:00.000Z,212.67,214.72,212.41,214.55,1112748,5min
AMZN,2026-03-04T14:55:00.000Z,214.55,214.94,213.95,214.85,979416,5min
AMZN,2026-03-04T15:00:00.000Z,214.94,215.74,214.68,214.97,1061241,5min
AMZN,2026-03-04T15:05:00.000Z,214.96,215.12,214.39,214.89,565376,5min
AMZN,2026-03-04T15:10:00.000Z,214.87,215.03,214,214.49,648391,5min
AMZN,2026-03-04T15:15:00.000Z,214.51,215.87,214.42,215.72,790356,5min
AMZN,2026-03-04T15:20:00.000Z,215.74,216.46,215.32,216.46,679540,5min
AMZN,2026-03-04T15:25:00.000Z,216.44,217.54,216.44,217.01,993896,5min
AMZN,2026-03-04T15:30:00.000Z,217.03,217.1,216.31,216.51,759764,5min
AMZN,2026-03-04T15:35:00.000Z,216.53,216.8,215.97,216.43,634239,5min
AMZN,2026-03-04T15:40:00.000Z,216.42,216.44,215.66,215.73,632177,5min
AMZN,2026-03-04T15:45:00.000Z,215.72,216.06,215.42,215.91,521135,5min
AMZN,2026-03-04T15:50:00.000Z,215.91,215.94,215.31,215.63,344215,5min
AMZN,2026-03-04T15:55:00.000Z,215.62,216.08,215.27,215.36,377540,5min
AMZN,2026-03-04T16:00:00.000Z,215.37,216.42,215.3,216.2,356749,5min
AMZN,2026-03-04T16:05:00.000Z,216.17,216.39,215.96,216.13,329655,5min
AMZN,2026-03-04T16:10:00.000Z,216.09,216.25,215.66,215.78,345328,5min
AMZN,2026-03-04T16:15:00.000Z,215.81,216.12,215.41,215.64,345824,5min
AMZN,2026-03-04T16:20:00.000Z,215.63,216.14,215.02,215.06,392124,5min
AMZN,2026-03-04T16:25:00.000Z,215.07,215.65,215.02,215.63,325617,5min
AMZN,2026-03-04T16:30:00.000Z,215.63,215.98,215.46,215.69,237528,5min
AMZN,2026-03-04T16:35:00.000Z,215.74,215.92,215.52,215.53,306047,5min
AMZN,2026-03-04T16:40:00.000Z,215.54,216.01,215.46,215.81,231470,5min
AMZN,2026-03-04T16:45:00.000Z,215.82,216.11,215.69,215.84,196987,5min
AMZN,2026-03-04T16:50:00.000Z,215.81,215.89,215.43,215.58,171115,5min
AMZN,2026-03-04T16:55:00.000Z,215.57,215.63,214.95,215.08,206617,5min
AMZN,2026-03-04T17:00:00.000Z,215.07,215.63,214.91,215.6,222135,5min
AMZN,2026-03-04T17:05:00.000Z,215.6,215.76,215.33,215.38,204850,5min
AMZN,2026-03-04T17:10:00.000Z,215.39,215.44,214.93,214.94,183397,5min
AMZN,2026-03-04T17:15:00.000Z,214.96,215.29,214.87,215.2,178339,5min
AMZN,2026-03-04T17:20:00.000Z,215.19,215.33,214.96,215.2,197117,5min
AMZN,2026-03-04T17:25:00.000Z,215.21,215.33,214.75,214.79,183908,5min
AMZN,2026-03-04T17:30:00.000Z,214.8,214.94,214.47,214.87,225532,5min
AMZN,2026-03-04T17:35:00.000Z,214.89,215.19,214.72,215.11,228497,5min
AMZN,2026-03-04T17:40:00.000Z,215.1,215.16,214.88,215.03,155662,5min
AMZN,2026-03-04T17:45:00.000Z,215.04,215.28,214.99,215.08,159407,5min
AMZN,2026-03-04T17:50:00.000Z,215.09,215.61,214.95,215.39,256592,5min
AMZN,2026-03-04T17:55:00.000Z,215.41,215.67,215.29,215.58,201628,5min
AMZN,2026-03-04T18:00:00.000Z,215.6,215.78,215.38,215.43,163938,5min
AMZN,2026-03-04T18:05:00.000Z,215.44,215.68,215.36,215.58,100818,5min
AMZN,2026-03-04T18:10:00.000Z,215.61,215.74,215.53,215.69,104344,5min
AMZN,2026-03-04T18:15:00.000Z,215.71,216.02,215.69,215.78,202409,5min
AMZN,2026-03-04T18:20:00.000Z,215.76,215.97,215.56,215.86,263134,5min
AMZN,2026-03-04T18:25:00.000Z,215.85,216.09,215.78,216.03,227553,5min
AMZN,2026-03-04T18:30:00.000Z,216.03,216.2,215.87,216.1,389239,5min
AMZN,2026-03-04T18:35:00.000Z,216.07,216.9,216.03,216.65,763518,5min
AMZN,2026-03-04T18:40:00.000Z,216.59,216.84,216.38,216.41,405563,5min
AMZN,2026-03-04T18:45:00.000Z,216.41,216.58,216.08,216.43,261916,5min
AMZN,2026-03-04T18:50:00.000Z,216.44,216.67,216.42,216.5,256184,5min
AMZN,2026-03-04T18:55:00.000Z,216.49,216.82,216.28,216.82,203031,5min
AMZN,2026-03-04T19:00:00.000Z,216.81,216.9,216.62,216.67,200724,5min
AMZN,2026-03-04T19:05:00.000Z,216.66,216.67,216.43,216.56,187056,5min
AMZN,2026-03-04T19:10:00.000Z,216.57,216.84,216.44,216.82,284944,5min
AMZN,2026-03-04T19:15:00.000Z,216.84,216.86,216.45,216.68,256256,5min
AMZN,2026-03-04T19:20:00.000Z,216.67,216.97,216.6,216.95,285535,5min
AMZN,2026-03-04T19:25:00.000Z,216.94,217.02,216.67,216.69,372804,5min
AMZN,2026-03-04T19:30:00.000Z,216.68,216.75,216.32,216.44,195182,5min
AMZN,2026-03-04T19:35:00.000Z,216.42,217.08,216.42,217.08,369074,5min
AMZN,2026-03-04T19:40:00.000Z,217.06,217.07,216.45,216.53,277183,5min
