symbol,ts,open,high,low,close,volume,interval
SPY,2025-07-21T19:05:00.000Z,630.11,630.22,629.57,629.64,764146,5min
SPY,2025-07-21T19:10:00.000Z,629.64,629.74,629.11,629.58,1700373,5min
SPY,2025-07-21T19:15:00.000Z,629.58,629.82,629.55,629.7,851061,5min
SPY,2025-07-21T19:20:00.000Z,629.7,629.82,629.6,629.71,630685,5min
SPY,2025-07-21T19:25:00.000Z,629.68,629.72,629.34,629.45,644860,5min
SPY,2025-07-21T19:30:00.000Z,629.45,629.68,629.35,629.36,595642,5min
SPY,2025-07-21T19:35:00.000Z,629.36,629.5,629.21,629.41,637003,5min
SPY,2025-07-21T19:40:00.000Z,629.42,629.46,628.77,628.85,1384198,5min
SPY,2025-07-21T19:45:00.000Z,628.85,628.92,628.46,628.77,1541515,5min
SPY,2025-07-21T19:50:00.000Z,628.77,629.15,628.64,628.79,1140015,5min
SPY,2025-07-21T19:55:00.000Z,628.8,628.89,628.34,628.76,3358617,5min
SPY,2025-07-22T13:30:00.000Z,629.08,629.12,628.23,628.41,1486090,5min
SPY,2025-07-22T13:35:00.000Z,628.4,629.19,628.38,629.1,716278,5min
SPY,2025-07-22T13:40:00.000Z,629.11,629.11,628.68,628.97,809109,5min
SPY,2025-07-22T13:45:00.000Z,628.98,628.99,627.97,628,871503,5min
SPY,2025-07-22T13:50:00.000Z,628,628.23,626.19,626.53,1679913,5min
SPY,2025-07-22T13:55:00.000Z,626.52,627.43,626.45,626.88,1325930,5min
SPY,2025-07-22T14:00:00.000Z,626.89,626.89,626.25,626.63,971257,5min
SPY,2025-07-22T14:05:00.000Z,626.63,627.21,626.56,627.12,660786,5min
SPY,2025-07-22T14:10:00.000Z,627.11,627.26,626.72,627.13,639843,5min
SPY,2025-07-22T14:15:00.000Z,627.13,627.41,626.89,627.04,537740,5min
SPY,2025-07-22T14:20:00.000Z,627.05,627.15,626.83,626.86,478359,5min
SPY,2025-07-22T14:25:00.000Z,626.84,627.11,626.8,627.09,364261,5min
SPY,2025-07-22T14:30:00.000Z,627.08,627.59,626.97,627.55,399510,5min
SPY,2025-07-22T14:35:00.000Z,627.55,628.03,627.55,627.66,709455,5min
SPY,2025-07-22T14:40:00.000Z,627.66,627.9,627.48,627.72,330744,5min
SPY,2025-07-22T14:45:00.000Z,627.7,627.83,627.35,627.5,407322,5min
SPY,2025-07-22T14:50:00.000Z,627.5,627.63,627.21,627.39,358674,5min
SPY,2025-07-22T14:55:00.000Z,627.41,628.03,627.35,627.95,575674,5min
SPY,2025-07-22T15:00:00.000Z,627.96,628.03,627.58,627.86,480086,5min
SPY,2025-07-22T15:05:00.000Z,627.86,628.12,627.73,627.86,338827,5min
SPY,2025-07-22T15:10:00.000Z,627.87,628.01,627.58,627.63,277436,5min
SPY,2025-07-22T15:15:00.000Z,627.64,627.87,627.33,627.86,356266,5min
SPY,2025-07-22T15:20:00.000Z,627.88,627.97,627.66,627.8,241991,5min
SPY,2025-07-22T15:25:00.000Z,627.8,627.96,627.6,627.64,396157,5min
SPY,2025-07-22T15:30:00.000Z,627.64,628.02,627.55,628.02,297863,5min
SPY,2025-07-22T15:35:00.000Z,628.01,628.01,627.59,627.64,411180,5min
SPY,2025-07-22T15:40:00.000Z,627.63,627.65,627.43,627.58,411026,5min
SPY,2025-07-22T15:45:00.000Z,627.57,628.06,627.55,627.78,318012,5min
